nodeId, isCoreNode
1, 0
2, 0
3, 0
4, 0
5, 0
6, 1
7, 0
8, 0
9, 0
10, 0
11, 1
12, 0
13, 0
14, 0
15, 0
16, 0
17, 0
18, 0
19, 0
20, 1
21, 1
22, 0
23, 1
24, 0
25, 0
26, 0
27, 0
28, 1
29, 0
30, 0
31, 0
32, 0
33, 0
34, 0
35, 0
36, 0
37, 0
38, 0
39, 0
40, 0
41, 0
42, 0
43, 1
44, 1
45, 0
46, 0
47, 0
48, 0
49, 0
50, 1
51, 0
52, 0
53, 0
54, 0
55, 0
56, 0
57, 0
58, 1
59, 0
60, 0
61, 0
62, 0
63, 0
64, 0
65, 0
66, 1
67, 0
68, 0
69, 0

linkId, srcNodeId, dstNodeId, linkLengthKm
1, 1, 2, 89
2, 2, 1, 89
3, 1, 3, 135
4, 3, 1, 135
5, 3, 4, 78
6, 4, 3, 78
7, 4, 5, 66
8, 5, 4, 66
9, 5, 6, 42
10, 6, 5, 42
11, 3, 6, 92
12, 6, 3, 92
13, 6, 7, 49
14, 7, 6, 49
15, 3, 8, 97
16, 8, 3, 97
17, 2, 8, 149
18, 8, 2, 149
19, 7, 8, 99
20, 8, 7, 99
21, 7, 9, 38
22, 9, 7, 38
23, 8, 10, 126
24, 10, 8, 126
25, 9, 11, 121
26, 11, 9, 121
27, 11, 10, 67
28, 10, 11, 67
29, 9, 12, 237
30, 12, 9, 237
31, 11, 13, 137
32, 13, 11, 137
33, 10, 14, 131
34, 14, 10, 131
35, 10, 15, 78
36, 15, 10, 78
37, 15, 16, 111
38, 16, 15, 111
39, 12, 17, 108
40, 17, 12, 108
41, 13, 18, 72
42, 18, 13, 72
43, 14, 16, 56
44, 16, 14, 56
45, 16, 19, 59
46, 19, 16, 59
47, 18, 20, 49
48, 20, 18, 49
49, 20, 21, 28
50, 21, 20, 28
51, 19, 21, 60
52, 21, 19, 60
53, 19, 22, 77
54, 22, 19, 77
55, 21, 22, 28
56, 22, 21, 28
57, 21, 23, 43
58, 23, 21, 43
59, 23, 24, 8
60, 24, 23, 8
61, 21, 24, 48
62, 24, 21, 48
63, 22, 25, 64
64, 25, 22, 64
65, 20, 23, 63
66, 23, 20, 63
67, 17, 21, 146
68, 21, 17, 146
69, 17, 26, 183
70, 26, 17, 183
71, 24, 27, 47
72, 27, 24, 47
73, 25, 28, 63
74, 28, 25, 63
75, 23, 26, 101
76, 26, 23, 101
77, 27, 29, 48
78, 29, 27, 48
79, 29, 28, 30
80, 28, 29, 30
81, 26, 30, 68
82, 30, 26, 68
83, 29, 31, 108
84, 31, 29, 108
85, 31, 32, 41
86, 32, 31, 41
87, 30, 32, 52
88, 32, 30, 52
89, 28, 33, 35
90, 33, 28, 35
91, 33, 34, 57
92, 34, 33, 57
93, 34, 35, 67
94, 35, 34, 67
95, 35, 36, 46
96, 36, 35, 46
97, 29, 37, 142
98, 37, 29, 142
99, 37, 38, 50
100, 38, 37, 50
101, 29, 39, 166
102, 39, 29, 166
103, 32, 38, 88
104, 38, 32, 88
105, 32, 40, 211
106, 40, 32, 211
107, 40, 41, 56
108, 41, 40, 56
109, 38, 42, 83
110, 42, 38, 83
111, 41, 42, 118
112, 42, 41, 118
113, 42, 43, 79
114, 43, 42, 79
115, 36, 44, 80
116, 44, 36, 80
117, 39, 45, 76
118, 45, 39, 76
119, 44, 46, 28
120, 46, 44, 28
121, 45, 46, 16
122, 46, 45, 16
123, 43, 45, 27
124, 45, 43, 27
125, 45, 47, 14
126, 47, 45, 14
127, 47, 48, 16
128, 48, 47, 16
129, 47, 49, 19
130, 49, 47, 19
131, 44, 49, 20
132, 49, 44, 20
133, 48, 49, 12
134, 49, 48, 12
135, 43, 50, 20
136, 50, 43, 20
137, 49, 50, 10
138, 50, 49, 10
139, 50, 51, 39
140, 51, 50, 39
141, 50, 52, 32
142, 52, 50, 32
143, 52, 53, 21
144, 53, 52, 21
145, 51, 53, 48
146, 53, 51, 48
147, 53, 54, 51
148, 54, 53, 51
149, 55, 53, 60
150, 53, 55, 60
151, 55, 54, 57
152, 54, 55, 57
153, 55, 50, 98
154, 50, 55, 98
155, 43, 53, 43
156, 53, 43, 43
157, 50, 53, 52
158, 53, 50, 52
159, 55, 56, 103
160, 56, 55, 103
161, 56, 57, 41
162, 57, 56, 41
163, 57, 58, 66
164, 58, 57, 66
165, 40, 59, 221
166, 59, 40, 221
167, 59, 60, 164
168, 60, 59, 164
169, 60, 58, 46
170, 58, 60, 46
171, 58, 61, 161
172, 61, 58, 161
173, 59, 61, 90
174, 61, 59, 90
175, 61, 62, 111
176, 62, 61, 111
177, 59, 63, 134
178, 63, 59, 134
179, 63, 62, 57
180, 62, 63, 57
181, 62, 64, 106
182, 64, 62, 106
183, 62, 65, 161
184, 65, 62, 161
185, 64, 66, 153
186, 66, 64, 153
187, 65, 66, 89
188, 66, 65, 89
189, 66, 67, 151
190, 67, 66, 151
191, 67, 68, 113
192, 68, 67, 113
193, 68, 69, 123
194, 69, 68, 123
195, 69, 66, 113
196, 66, 69, 113
